timestamp,src_mac,dst_mac,ethertype,frame_size_bytes
2025-06-22 19:28:47,40:00:40:01:c8:18,45:00:00:54:73:fc,0x0800,118
2025-06-22 19:28:47,00:00:3f:01:ac:03,45:00:00:54:d1:11,0x0800,84
2025-06-22 19:28:47,00:00:3f:01:ac:03,45:00:00:54:d1:11,0x0800,84
2025-06-22 19:28:48,40:00:40:01:c7:be,45:00:00:54:74:56,0x0800,118
2025-06-22 19:28:48,40:00:40:01:c7:be,45:00:00:54:74:56,0x0800,118
2025-06-22 19:28:48,00:00:3f:01:6b:d4,45:00:00:54:11:41,0x0800,84
2025-06-22 19:28:48,00:00:3f:01:6b:d4,45:00:00:54:11:41,0x0800,84
2025-06-22 19:28:49,40:00:40:01:c7:bb,45:00:00:54:74:59,0x0800,118
2025-06-22 19:28:49,40:00:40:01:c7:bb,45:00:00:54:74:59,0x0800,118
2025-06-22 19:28:49,00:00:3f:01:2c:1c,45:00:00:54:50:f9,0x0800,84
2025-06-22 19:28:49,00:00:3f:01:2c:1c,45:00:00:54:50:f9,0x0800,84
2025-06-22 19:28:50,40:00:40:01:c7:9c,45:00:00:54:74:78,0x0800,118
2025-06-22 19:28:50,40:00:40:01:c7:9c,45:00:00:54:74:78,0x0800,118
2025-06-22 19:28:50,00:00:3f:01:ef:e1,45:00:00:54:8d:33,0x0800,84
2025-06-22 19:28:50,00:00:3f:01:ef:e1,45:00:00:54:8d:33,0x0800,84
2025-06-22 19:28:51,40:00:40:01:c7:5a,45:00:00:54:74:ba,0x0800,118
2025-06-22 19:28:51,40:00:40:01:c7:5a,45:00:00:54:74:ba,0x0800,118
2025-06-22 19:28:51,00:00:3f:01:f6:95,45:00:00:54:86:7f,0x0800,84
2025-06-22 19:28:51,00:00:3f:01:f6:95,45:00:00:54:86:7f,0x0800,84
2025-06-22 19:28:52,40:00:40:01:c7:38,45:00:00:54:74:dc,0x0800,118
2025-06-22 19:28:52,40:00:40:01:c7:38,45:00:00:54:74:dc,0x0800,118
2025-06-22 19:28:52,00:00:3f:01:2b:02,45:00:00:54:52:13,0x0800,84
2025-06-22 19:28:52,00:00:3f:01:2b:02,45:00:00:54:52:13,0x0800,84
2025-06-22 19:28:53,40:00:40:01:c7:10,45:00:00:54:75:04,0x0800,118
2025-06-22 19:28:53,40:00:40:01:c7:10,45:00:00:54:75:04,0x0800,118
2025-06-22 19:28:53,00:00:3f:01:6c:6f,45:00:00:54:10:a6,0x0800,84
2025-06-22 19:28:53,00:00:3f:01:6c:6f,45:00:00:54:10:a6,0x0800,84
2025-06-22 19:28:54,40:00:40:01:c7:0b,45:00:00:54:75:09,0x0800,118
2025-06-22 19:28:54,40:00:40:01:c7:0b,45:00:00:54:75:09,0x0800,118
2025-06-22 19:28:54,00:00:3f:01:d7:78,45:00:00:54:a5:9c,0x0800,84
2025-06-22 19:28:54,00:00:3f:01:d7:78,45:00:00:54:a5:9c,0x0800,84
2025-06-22 19:28:55,40:00:40:01:c6:a3,45:00:00:54:75:71,0x0800,118
2025-06-22 19:28:55,40:00:40:01:c6:a3,45:00:00:54:75:71,0x0800,118
2025-06-22 19:28:55,00:00:3f:01:1b:f9,45:00:00:54:61:1c,0x0800,84
2025-06-22 19:28:55,00:00:3f:01:1b:f9,45:00:00:54:61:1c,0x0800,84
2025-06-22 19:28:56,40:00:40:01:c6:82,45:00:00:54:75:92,0x0800,118
2025-06-22 19:28:56,40:00:40:01:c6:82,45:00:00:54:75:92,0x0800,118
2025-06-22 19:28:56,00:00:3f:01:af:5d,45:00:00:54:cd:b7,0x0800,84
2025-06-22 19:28:56,00:00:3f:01:af:5d,45:00:00:54:cd:b7,0x0800,84
